value_id;option_id;store_id;value
2380290;593;1;chrom
2380291;593;2;chrome
2185317;594;0;red / rot
2185318;594;1;rot
2185319;594;2;red
2185675;595;0;tobacco -/- tabak
2185676;595;1;tabak
2185677;595;2;tobacco
2185302;596;0;Reconstructed timber veneer: Erable -/- rekonstruiertes Holz: Ahorn
2185303;596;1;rekonstruiertes Holz: Ahorn
2185304;596;2;Reconstructed timber veneer: Psycho
2185305;597;0;Reconstructed timber veneer: Orange -/- rekonstruiertes Holz: Orange
2185306;597;1;rekonstruiertes Holz: Orange
2185307;597;2;Reconstructed timber veneer: Orange
2185299;598;0;Reconstructed timber veneer: Coffee -/- rekonstruiertes Holz: Kaffee
2185300;598;1;rekonstruiertes Holz: Kaffee
2185301;598;2;Reconstructed timber veneer: Coffee
2185308;599;0;Reconstructed timber veneer: Tetris -/- rekonstruiertes Holz: Tetris
2185309;599;1;rekonstruiertes Holz: Tetris
2185310;599;2;Reconstructed timber veneer: Tetris
2185065;600;0;Natural timber veneer: grey -/- Naturholz: grau
2185066;600;1;Naturholz: grau
2185067;600;2;Natural timber veneer: grey
2185062;601;0;Natural timber veneer: green -/- Naturholz: gr�n
2185063;601;1;Naturholz: gr�n
2185064;601;2;Natural timber veneer: green
2185074;602;0;Natural timber veneer: red -/- Naturholz: rot
2185075;602;1;Naturholz: rot
2185076;602;2;Natural timber veneer: red
2185071;603;0;Natural timber veneer: Orange -/- Naturholz: orange
2185072;603;1;Naturholz: orange
2185073;603;2;Natural timber veneer: Orange
2185080;604;0;Natural timber veneer: Yellow -/- Naturholz gelb
2185081;604;1;Naturholz gelb
2185082;604;2;Natural timber veneer: Yellow
2185047;605;0;Natural timber veneer: Ash
2185048;605;1;Esche
2185049;605;2;Natural timber veneer: Ash
2185050;606;0;Natural timber veneer: Beech -/- Naturholz: Buche
2185051;606;1;Naturholz: Buche
2185052;606;2;Natural timber veneer: Beech
2185044;607;0;Natural timber veneer: American white wood -/- Naturholz: wei�
2185045;607;1;Naturholz: wei�
2185046;607;2;Natural timber veneer: American white wood
2185056;608;0;Natural timber veneer: cherry -/- Naturholz: Kirschbaum
2185057;608;1;Naturholz: Kirschbaum
2185058;608;2;Natural timber veneer: cherry
2184763;609;0;light  brown -/- hellbraun
2184764;609;1;hellbraun
2184765;609;2;light brown
2185353;610;0;red/white -/- rot/wei�
2185354;610;1;rot/wei�
2185355;610;2;red/white
2184781;611;0;light brown /white -/- hellbraun/wei�
2184782;611;1;hellbraun/wei�
2184783;611;2;light brown/white
2380107;612;0;black/white -/- schwarz/wei�
2380108;612;1;schwarz/wei�
2380109;612;2;black/white
2185481;613;0;satin white -/- satiniert wei�
2185482;613;1;satiniert wei�
2185483;613;2;satin white
2185506;614;0;satiniert
2185507;614;1;satiniert
2185508;614;2;satin
2185068;615;0;Natural timber veneer: multicolor -/- Naturholz: mehrfarbig
2185069;615;1;Naturholz: mehrfarbig
2185070;615;2;Natural timber veneer: multicolor
2185026;616;0;multicolor -/- mehrfarbig
2185027;616;1;mehrfarbig
2185028;616;2;multicolor
2184467;617;0;fuchsia -/- pink
2184468;617;1;pink
2184469;617;2;fuchsia
2185189;618;0;orange
2185190;618;1;orange
2185191;618;2;orange
2184769;619;0;light blue -/- hellblau
2184770;619;1;hellblau
2184771;619;2;light blue
2269663;620;0;d�cor white -/- Dekor wei�
2269661;621;0;d�cor beige -/- Dekor beige
2269662;621;1;Dekor beige
2184706;622;0;ivory -/- elfenbein
2184707;622;1;elfenbein
2184708;622;2;ivory
2185356;623;0;rose -/- rosa
2185357;623;1;rosa
2185358;623;2;rose
2185896;624;0;white matt -/-wei� matt
2185897;624;1;wei� matt
2185898;624;2;Etched white
2184508;625;0;glossy  white -/- wei� gl�nzend
2184509;625;1;wei� gl�nzend
2185211;626;0;orange/black -/- orange/schwarz
2185212;626;1;orange/schwarz
2185213;626;2;orange/black
2185965;627;0;white/black -/- wei�/schwarz
2185966;627;1;wei�/schwarz
2185967;627;2;white/black
2186043;628;0;white/white -/- wei�/wei�
2186044;628;1;wei�/wei�
2186045;628;2;white/white
2379839;629;0;aluminium
2379840;629;1;aluminium
2379841;629;2;aluminium
2185763;630;0;transparent
2185145;631;0;opal white -/- opalwei�
2185146;631;1;opalwei�
2185147;631;2;opal white
2185271;632;0;porcelain white -/- porzellan wei�
2185272;632;1;porzellan wei�
2185273;632;2;porcelain white
2380216;633;0;bronze
2184620;634;0;grey smoky -/- rauchgrau
2184621;634;1;rauchgrau
2184622;634;2;smoky grey
2186022;635;0;white/orange -/- wei�/orange
2186023;635;1;wei�/orange
2186024;635;2;white/orange
2185974;636;0;white/blue -/- wei�/blau
2185975;636;1;wei�/blau
2185976;636;2;white/blue
2186040;637;0;white/transparent -/- wei�/transparent
2186041;637;1;wei�/transparent
2186042;637;2;white/transparent
2185086;638;0;nature
2185087;638;1;natur
2185088;638;2;nature
2185083;639;0;natural white -/- naturwei�
2185084;639;1;naturwei�
2185085;639;2;natural white
2184739;640;0;lacquered -/- silber lackiert
2184740;640;1;silber lackiert
2184741;640;2;silver lacquered
2379845;641;0;aluminium brushed -/- aluminium geb�rstet
2379846;641;1;aluminium geb�rstet
2379847;641;2;aluminium brushed
2184566;642;0;graphite grey -/- graphit grau
2184567;642;1;graphit grau
2184568;642;2;graphite grey
2198942;643;0;Earth (American white wood, Kirschbaum, Buche)
2198943;643;1;Earth (American white wood, Kirschbaum, Buche)
2198944;643;2;Earth (American white wood, cherry, beech)
2184448;644;0;Fire (American white wood, gelb, rot)
2184449;644;1;Fire (American white wood, gelb, rot)
2184450;644;2;Fire (American white wood, yellow, red)
2184521;645;0;gold
2185111;646;0;nickel satined
2185112;646;1;nickel satiniert
2185113;646;2;nickel satined
2380123;647;0;blau (alu beschichtet)
2380124;647;1;blau (aluminiumbeschichtet)
2380125;647;2;blue (aluminium coated)
2185311;648;0;red (aluminium coated) -/- rot (aluminiumbeschichtet)
2185312;648;1;rot (aluminiumbeschichtet)
2185313;648;2;red (aluminium coated)
2186034;649;0;white/silver -/- wei�/silber
2186035;649;1;wei�/silber
2186036;649;2;white/silver
2380083;650;0;black/gold -/- schwarz/gold
2380084;650;1;schwarz/gold
2380085;650;2;black/gold
2380528;651;0;dark brown/white -/- dunkelbraun/wei�
2380529;651;1;dunkelbraun/wei�
2380530;651;2;dark brown/white
2184512;652;0;glossy black/ white matt -/- schwarz gl�nzend/wei� matt
2184644;653;0;grey/white matt -/- grau/wei� matt
2184645;653;1;grau/wei� matt
2184646;653;2;grey/white matt
2185887;654;0;white glossy /white matt -/- wei� gl�nzend/wei� matt
2185888;654;1;wei� gl�nzend/wei� matt
2185889;654;2;glossy white/white matt
2379857;655;0;aluminium glossy/ aluminium matt -/- aluminium gl�nzend /aluminium matt
2379858;655;1;aluminum gl�nzend /aluminum matt
2379859;655;2;aluminum glossy/ aluminum matt
2379976;656;0;aquamarine -/- aquamarinfarben
2379977;656;1;aquamarinfarben
2379978;656;2;aquamarine
2379860;657;0;aluminium glossy/white matt -/- aluminium gl�nzend /wei� matt
2379861;657;1;aluminium gl�nzend/wei� matt
2379862;657;2;glossy aluminum/ white matt
2380032;658;0;black glossy -/- schwarz gl�nzend
2380033;658;1;schwarz gl�nzend
2380034;658;2;black glossy
2185998;659;0;white/glossy -/- wei�/gl�nzend
2185999;659;1;wei�/gl�nzend
2186000;659;2;white/glossy
2380234;660;0;brown-rust/matt -/- rostbraun/matt
2380235;660;1;rostbraun/matt
2380236;660;2;rubiginous/matt
2184550;661;0;gold/opal
2184551;661;1;gold/opal
2184552;661;2;gold/opal
2185005;662;0;mirrored -/- verspiegelt
2185006;662;1;verspiegelt
2185007;662;2;mirrored
2379905;663;0;amber -/- bernstein
2379906;663;1;bernstein
2379907;663;2;amber
2184470;664;0;fuchsia / fuchsienfarbig
2184471;664;1;fuchsienfarbig
2184472;664;2;fuchsia
2380225;665;0;brown / braun
2380226;665;1;brauner Schirm
2380227;665;2;brown shade
2380203;666;0;braun/braun
2380204;666;1;braun/braun
2380205;666;2;brown/brown
2184473;667;0;fuchsia/brown -/- fuchsia/braun
2184474;667;1;fuchsia/braun
2184475;667;2;fuchsia/brown
2184476;668;0;fuchsia/fuchsia
2186079;669;0;yellow/brown -/- gelb/braun
2186080;669;1;gelb/braun
2186081;669;2;yellow/brown
2186082;670;0;yellow/fuchsia -/- gelb/fuchsia
2186083;670;1;gelb/fuchsia
2186084;670;2;yellow/fuchsia
2186088;671;0;yellow/yellow -/- gelb/gelb
2186089;671;1;gelb/gelb
2186090;671;2;yellow/yellow
2185980;672;0;white/brown -/- weiss/braun
2185981;672;1;weiss/braun
2185982;672;2;white/brown
2185995;673;0;white/fuchsia-/- weiss/fuchsia
2185996;673;1;weiss/fuchsia
2185997;673;2;white/fuchsia
2186046;674;0;white/yellow -/- weiss/gelb
2186047;674;1;weiss/gelb
2186048;674;2;white/yellow
2186070;675;0;yellow glossy -/- gelb gl�nzend
2186071;675;1;gelb gl�nzend
2186072;675;2;glossy yellow
2184938;676;0;metallized -/- metallisiert
2184939;676;1;metallisiert
2184940;676;2;metallized
2380126;677;0;blau gl�nzend
2380127;677;1;blau gl�nzend
2380128;677;2;glossy blue
2185323;678;0;red glossy -/- rot gl�nzend
2185324;678;1;rot gl�nzend
2185325;678;2;glossy red
2185846;679;0;warm colors -/- warme Farben
2185847;679;1;warme Farben
2185848;679;2;warm colors
2380343;680;0;cold colors -/- kalte Farben
2380344;680;1;kalte Farben
2380345;680;2;cold colors
2185011;681;0;mocha -/- mokka
2185012;681;1;mokka
2185013;681;2;mocha
2379933;682;0;amber/white -/- bernstein/weiss
2379934;682;1;bernstein/weiss
2379935;682;2;amber/white
2185199;683;0;orange fluorescent
2185200;683;1;orange fluoreszierend
2185201;683;2;orange fluorescent
2185214;684;0;orange/white -/- orange/weiss
2185215;684;1;orange/weiss
2185216;684;2;orange/white
2380080;685;0;black/fuchsie -/- schwarz/fuchsie
2380081;685;1;schwarz/fuchsie
2380082;685;2;black/fuchsie
2185562;686;0;silver gray -/- silbergrau
2185563;686;1;silbergrau
2185564;686;2;silver gray
2184787;687;0;light green -/- hellgr�n
2184788;687;1;hellgr�n
2184789;687;2;light green
2185977;688;0;white/blue -/- wei�/blau
2185978;688;1;wei�/blau
2185979;688;2;white/blue
2186031;689;0;white/red -/- wei�/rot
2186032;689;1;wei�/rot
2186033;689;2;white/red
2185571;690;0;silver/black -/- silber/schwarz
2185572;690;1;silber/schwarz
2185573;690;2;silver/black
2380101;691;0;black/silver -/- schwarz/silber
2380102;691;1;schwarz/silber
2380103;691;2;black/silver
2185384;692;0;sand gray -/- sandgrau
2185385;692;1;sandgrau
2185386;692;2;sand gray
2184810;693;0;lilac / lila
2184811;693;1;lila
2184812;693;2;lilac
2185662;694;0;terracotta -/- terrakotta
2185663;694;1;terrakotta
2185664;694;2;terracotta
2185559;695;0;silver anodized -/- silber eloxiert
2185560;695;1;silber eloxiert
2185561;695;2;silver anodized
2185249;696;0;platin
2186085;697;0;yellow/green -/- gelb/gr�n
2186086;697;1;gelb/gr�n
2186087;697;2;yellow/green
2185494;698;0;satined in parts -/- teilsantiniert
2185495;698;1;teilsantiniert
2185496;698;2;satined in parts
2380316;699;0;clear glas polished -/- poliertes Klarglas
2380317;699;1;poliertes Klarglas
2380318;699;2;polished glas
2185884;700;0;white glossy /glossy red -/- wei� gl�nzend/rot gl�nzend
2185885;700;1;wei� gl�nzend/rot gl�nzend
2185886;700;2;glossy white/glossy red
2380044;701;0;black matt/white matt -/- mattschwarz/mattwei�
2380045;701;1;mattschwarz/mattwei�
2380046;701;2;black matt/white matt
2186019;702;0;white/mirror -/- wei�/Spiegel
2186020;702;1;wei�/Spiegel
2186021;702;2;white/mirror
2184703;703;0;ivory -/- elfenbein
2184704;703;1;elfenbein
2184705;703;2;ivory
2186061;704;0;yellow / brown -/- gelb/braun
2186062;704;1;gelb / braun
2186063;704;2;yellow / brown
2186064;705;0;yellow / fuchsia -/- gelb/fucsia
2186065;705;1;gelb / fucsia
2186066;705;2;yellow / fuchsia
2186067;706;0;yellow / yellow -/- gelb/gelb
2186068;706;1;gelb / gelb
2186069;706;2;yellow / yellow
2185992;707;0;white/fluorescent yellow -/- wei�/leuchtendgelb
2185993;707;1;wei�/leuchtendgelb
2185994;707;2;white/fluorescent yellow
2379963;708;0;apple green -/- apfelgr�n
2379964;708;1;apfelgr�n
2379965;708;2;apple green
2380307;709;0;citreous -/- zitronengelb
2380308;709;1;zitronengelb
2380309;709;2;citreous
2185609;710;0;stainless steel brushed -/- Edelstahl geb�rstet
2185610;710;1;Edelstahl geb�rstet
2185611;710;2;stainless steel brushed
2185105;711;0;nickel brushed -/- nickel geb�rstet
2185106;711;1;nickel geb�rstet
2185107;711;2;nickel brushed
2185858;712;0;wenge
2185008;713;0;mirrored/transparent -/- verspiegelt/transparent
2185009;713;1;verspiegelt/transparent
2185010;713;2;mirrored/transparent
2185914;714;0;white satined/transparent -/- wei� satiniert/transparent
2185915;714;1;wei� satiniert/transparent
2185916;714;2;white satined/transparent
2210927;715;0;diamantino
2210928;715;1;diamantino
2185911;716;0;white satin -/- wei� satiniert
2185912;716;1;wei� satiniert
2185913;716;2;satin white
2185920;717;0;white shades -/- Wei�schattierungen
2185921;717;1;Wei�schattierungen
2185922;717;2;shades of white
2184694;718;0;intensive colors
2184695;718;1;intensive Farben
2184696;718;2;intensive colors
2185224;719;0;pastel colors -/- Pastellfarben
2185225;719;1;Pastellfarben
2185226;719;2;pastel colors
2380463;720;0;crystal bubble effect -/- Kristall Bl�scheneffekt
2380464;720;1;Kristall Bl�scheneffekt
2380465;720;2;crystal bubble effect
2379918;721;0;amber yellow bubble effect -/- Bernstein Bl�scheneffekt
2379919;721;1;Bernstein Bl�scheneffekt
2379920;721;2;amber yellow bubble effect
2184671;722;0;hemisphere silver -/- Halbkugel silber
2184672;722;1;Halbkugel silber
2184673;722;2;hemisphere silver
2184674;723;0;hemisphere white -/- Halbkugel wei�
2184675;723;1;Halbkugel wei�
2184676;723;2;hemisphere white
2185741;724;0;translucent  -/- durchscheinend
2185742;724;1;durchscheinend
2185743;724;2;translucent
2380298;725;0;chrome matt -/- verchromt matt
2380299;725;1;matt verchromt
2380300;725;2;chrome matt
2379875;726;0;aluminium matt/brass black -/- Aluminium mattiert /Messing schwarz
2379876;726;1;Aluminium mattiert/Messing schwarz
2379877;726;2;aluminum matt/brass black
2185108;727;0;nickel polished -/- Nickel poliert
2185109;727;1;Nickel poliert
